id,year_month,uf,product,unit,volume,created_at
239,2014-01-01,RS,OLEO DIESEL MARITIMO,m3,1640,2022-06-14 09:28:16.189637-03
240,2014-01-01,MS,OLEO DIESEL MARITIMO,m3,180,2022-06-14 09:28:16.189637-03
241,2014-01-01,MT,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
242,2014-01-01,GO,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
243,2014-01-01,DF,OLEO DIESEL MARITIMO,m3,0,2022-06-14 09:28:16.189637-03
244,2014-01-01,RO,OLEO DIESEL (OUTROS ),m3,136,2022-06-14 09:28:16.189637-03
245,2014-01-01,AC,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
246,2014-01-01,AM,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
247,2014-01-01,RR,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
248,2014-01-01,PA,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
249,2014-01-01,AP,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
250,2014-01-01,TO,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
251,2014-01-01,MA,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
252,2014-01-01,PI,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
253,2014-01-01,CE,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
254,2014-01-01,RN,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
255,2014-01-01,PB,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
256,2014-01-01,PE,OLEO DIESEL (OUTROS ),m3,405.5,2022-06-14 09:28:16.189637-03
257,2014-01-01,AL,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
258,2014-01-01,SE,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
259,2014-01-01,BA,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
260,2014-01-01,MG,OLEO DIESEL (OUTROS ),m3,11.378,2022-06-14 09:28:16.189637-03
261,2014-01-01,ES,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
262,2014-01-01,RJ,OLEO DIESEL (OUTROS ),m3,1509.203,2022-06-14 09:28:16.189637-03
263,2014-01-01,SP,OLEO DIESEL (OUTROS ),m3,1012.19,2022-06-14 09:28:16.189637-03
264,2014-01-01,PR,OLEO DIESEL (OUTROS ),m3,82.43,2022-06-14 09:28:16.189637-03
265,2014-01-01,SC,OLEO DIESEL (OUTROS ),m3,65,2022-06-14 09:28:16.189637-03
266,2014-01-01,RS,OLEO DIESEL (OUTROS ),m3,298.194,2022-06-14 09:28:16.189637-03
267,2014-01-01,MS,OLEO DIESEL (OUTROS ),m3,30,2022-06-14 09:28:16.189637-03
268,2014-01-01,MT,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
269,2014-01-01,GO,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
